"POST ID","State","Make and Model","Post Date","Asking $"
"SIA38217","WI",,"26 JUL 2016","$9000"
"SIA38210","MN",,"25 JUL 2016","$9500"
"SIA38195","AZ",,"23 JUL 2016","$26995"
"SIA38184","IN",,"22 JUL 2016","$33000"
"SIA38182","WA",,"22 JUL 2016","$6500"
"SIA38177","NY",,"22 JUL 2016","$16000"
"SIA38176","IL",,"21 JUL 2016","$10000"
"SIA38174","NH",,"21 JUL 2016","$8500"
"SIA38162","CA",,"21 JUL 2016","$49999"
"SIA38160","CA",,"21 JUL 2016","$76500"
"SIA38158","AZ",,"23 JUL 2016",""
"SIA38155","CA",,"21 JUL 2016","$49500"
"SIA38154","KY",,"21 JUL 2016","$25900"
"SIA38150","PA",,"22 JUL 2016","$51900"
"SIA38144","CA",,"20 JUL 2016","$18500"
"SIA38143","IN",,"20 JUL 2016","$49000"
"SIA38137","CA",,"20 JUL 2016","$18500"
"SIA38136","AL",,"20 JUL 2016","$47500"
"SIA38134","NV",,"20 JUL 2016","$39995"
"SIA38133","CA",,"23 JUL 2016","$37500"
"SIA38122","MN",,"20 JUL 2016","$16000"
"SIA38121","CA",,"21 JUL 2016","$12500"
"SIA38120","MT",,"20 JUL 2016","$19300"
"SIA38119","CA",,"20 JUL 2016","$8000"
"SIA38115","NV",,"19 JUL 2016","$55995"
"SIA38113","AZ",,"19 JUL 2016","$69995"
"SIA38112","MO",,"19 JUL 2016","$14500"
"SIA38110","MS",,"19 JUL 2016",""
"SIA38101","WI",,"18 JUL 2016",""
"SIA38097","PA",,"18 JUL 2016","$23000"
"SIA38095","MN",,"19 JUL 2016","$37500"
"SIA38092","TX",,"18 JUL 2016","$40500"
"SIA38090","KY",,"18 JUL 2016",""
"SIA38085","UT",,"17 JUL 2016",""
"SIA38078","ID",,"17 JUL 2016",""
"SIA38074","OK",,"17 JUL 2016","$7900"
"SIA38072","FL",,"17 JUL 2016","$14800"
"SIA38070","MO",,"17 JUL 2016","$45000"
"SIA38064","AZ",,"22 JUL 2016","$10500"
"SIA38062","AR",,"16 JUL 2016","$32900"
"SIA38060","CA",,"15 JUL 2016","$6000"
"SIA38059","WI",,"15 JUL 2016","$7000"
"SIA38058","CT",,"15 JUL 2016","$9000"
"SIA38057","CT",,"15 JUL 2016","$9000"
"SIA38040","IN",,"17 JUL 2016","$38500"
"SIA38035","NV",,"14 JUL 2016","$17995"
"SIA38033","CT",,"14 JUL 2016","$49900"
"SIA38023","MT",,"18 JUL 2016",""
"SIA38021","NV",,"19 JUL 2016","$52995"
"SIA38018","MI",,"12 JUL 2016","$14500"
"SIA38015","AZ",,"16 JUL 2016","$9995"
"SIA38013","AZ",,"12 JUL 2016","$45995"
"SIA38008","AZ",,"12 JUL 2016",""
"SIA38007","WI",,"12 JUL 2016","$139995"
"SIA38005","WI",,"12 JUL 2016","$87981"
"SIA38003","WA",,"12 JUL 2016","$36000"
"SIA38000","SC",,"13 JUL 2016","$60000"
"SIA37995","CT",,"12 JUL 2016","$35000"
"SIA37992","CA",,"11 JUL 2016",""
"SIA37984","CA",,"11 JUL 2016","$10500"
"SIA37971","MN",,"11 JUL 2016","$10500"
"SIA37969","FL",,"11 JUL 2016","$39750"
"SIA37965","NC",,"10 JUL 2016",""
"SIA37961","TX",,"10 JUL 2016","$26750"
"SIA37951","AZ",,"12 JUL 2016",""
"SIA37948","FL",,"09 JUL 2016","$159000"
"SIA37942","MN",,"08 JUL 2016","$31900"
"SIA37936","KS",,"08 JUL 2016",""
"SIA37935","KS",,"08 JUL 2016","$58000"
"SIA37934","KS",,"08 JUL 2016","$58000"
"SIA37932","CA",,"08 JUL 2016",""
"SIA37927","MS",,"08 JUL 2016",""
"SIA37922","CA",,"07 JUL 2016","$13000"
"SIA37921","CA",,"07 JUL 2016","$44900"
"SIA37915","CA",,"06 JUL 2016",""
"SIA37914","CA",,"06 JUL 2016","$9500"
"SIA37913","SC",,"06 JUL 2016","$9800"
"SIA37912","CA",,"06 JUL 2016",""
"SIA37911","CA",,"06 JUL 2016","$14500"
"SIA37907","NV",,"21 JUL 2016","$13995"
"SIA37896","WA",,"05 JUL 2016",""
"SIA37888","CA",,"05 JUL 2016","$28900"
"SIA37887","CA",,"05 JUL 2016","$23500"
"SIA37867","NH",,"04 JUL 2016",""
"SIA37859","CA",,"02 JUL 2016",""
"SIA37858","CA",,"02 JUL 2016",""
"SIA37857","CA",,"02 JUL 2016",""
"SIA37849","CA",,"02 JUL 2016",""
"SIA37848","CA",,"02 JUL 2016",""
"SIA37847","CA",,"02 JUL 2016",""
"SIA37846","CA",,"02 JUL 2016",""
"SIA37845","MO",,"02 JUL 2016","$28500"
"SIA37837","TN",,"24 JUL 2016","$18500"
